finding_type,resource_type,severity,description,is_public,is_encrypted,port_exposed,business_impact_score,recommended_action,estimated_breach_cost,confidence
rds_public_snapshot,rds,critical,RDS snapshot accidentally shared publicly,1,0,5432,86,Make RDS snapshots private immediately,310000,0.91
rds_deletion_protection,rds,medium,RDS deletion protection not enabled,0,1,5432,44,Enable deletion protection on critical databases,26000,0.73
rds_backup_retention,rds,medium,RDS backup retention less than 7 days,0,1,5432,43,Increase backup retention to minimum 7 days,25000,0.72
rds_enhanced_monitoring,rds,medium,RDS enhanced monitoring disabled,0,1,5432,40,Enable RDS enhanced monitoring,21000,0.71
dynamodb_backup_disabled,dynamodb,high,DynamoDB PITR (point-in-time recovery) disabled,0,0,0,73,Enable DynamoDB point-in-time recovery,115000,0.86
dynamodb_no_ttl,dynamodb,low,DynamoDB table with no TTL for old records,0,0,0,16,Configure TTL on old records for auto cleanup,6000,0.61
ecr_image_scan_disabled,ecr,medium,ECR repository without image scanning,0,1,0,37,Enable ECR image scanning on push,17000,0.69
ecr_unencrypted,ecr,medium,ECR repository using default encryption,0,1,0,39,Use KMS encryption for ECR repositories,19000,0.70
iam_policy_full_access,iam,critical,IAM role has AdministratorAccess policy,1,1,0,89,Create custom policy with least privilege,220000,0.89
iam_console_password_policy,iam,high,Weak password policy for IAM console,0,1,0,71,Enforce strong password requirements,100000,0.84
network_acl_too_permissive,vpc,high,Network ACL allows all traffic,0,1,0,72,Restrict NACL rules to required ports,108000,0.85
vpc_flow_logs_disabled,vpc,medium,VPC Flow Logs disabled for network monitoring,0,1,0,41,Enable VPC Flow Logs for all VPCs,23000,0.72
internet_gateway_not_needed,vpc,low,Internet Gateway on private subnet,0,1,0,19,Remove unneeded Internet Gateways,6500,0.62
nat_gateway_unused,vpc,low,NAT Gateway exists but unused,0,1,0,17,Delete unused NAT Gateways,7500,0.61
vpc_peering_unencrypted,vpc,medium,VPC Peering connection without encryption,0,1,0,46,Use VPN or encrypted tunnels for VPC peering,31000,0.74
transit_gateway_unencrypted,vpc,medium,Transit Gateway without encryption,0,1,0,47,Enable Transit Gateway encryption,33000,0.75
cloudformation_drift_detected,cloudformation,medium,CloudFormation stack has drift from template,0,1,0,49,Detect and remediate CloudFormation drift,29000,0.76
s3_public_access_block,s3,high,S3 bucket with public access block disabled,0,0,0,79,Enable Block Public Access on S3,125000,0.88
s3_bucket_acl_public,s3,critical,S3 bucket ACL set to public-read or public-read-write,1,0,0,93,Change ACL to private,480000,0.94
s3_bucket_policy_public,s3,critical,S3 bucket policy allows public access,1,0,0,94,Update bucket policy to restrict public access,490000,0.93
s3_bucket_cross_account,s3,high,S3 bucket accessible by cross-account principal,1,0,0,77,Review and restrict cross-account access,120000,0.86
s3_object_lock_disabled,s3,medium,S3 Object Lock not enabled for compliance,0,0,0,51,Enable S3 Object Lock for immutability,35000,0.77
s3_requester_pays,s3,low,S3 Requester Pays option enabled,0,1,0,21,Disable unless intentionally needed,8500,0.63
secrets_manager_rotation,secretsmanager,high,Secrets Manager secret not rotated,0,1,0,75,Enable automatic secret rotation,112000,0.86
secrets_manager_unencrypted,secretsmanager,high,Secrets not encrypted with KMS,0,0,0,74,Use KMS for secret encryption,110000,0.85
ssm_parameter_unencrypted,ssm,medium,Systems Manager Parameter Store using default key,0,1,0,45,Use custom KMS key for Parameter Store,27000,0.73
monitoring_alarms_missing,cloudwatch,medium,CloudWatch alarms not configured,0,1,0,43,Create alarms for critical metrics,24000,0.71
logs_retention_too_long,logs,low,CloudWatch Logs retention set to indefinite,0,1,0,23,Set appropriate log retention period,9000,0.64
logs_not_encrypted,logs,medium,CloudWatch Logs not encrypted,0,1,0,44,Enable CloudWatch Logs encryption,25500,0.72
eventbridge_rule_no_dlq,events,low,EventBridge rule without dead letter queue,0,1,0,24,Configure DLQ for EventBridge rules,10000,0.65
cost_anomaly_detection,ce,low,Cost Anomaly Detection not enabled,0,1,0,25,Enable Cost Anomaly Detection,11000,0.66
unused_nat_gateway,vpc,low,NAT Gateway running but not used,0,1,0,26,Delete unused NAT gateways ($32/month),12000,0.67
unused_ebs_volume,ec2,low,EBS volume unattached for 30+ days,0,1,0,27,Delete or attach unused volumes,13000,0.68
ebs_volume_unencrypted,ec2,high,EBS volume without encryption,0,0,0,76,Enable EBS encryption for new volumes,118000,0.87
ebs_snapshot_public,ec2,critical,EBS snapshot accidentally made public,1,0,0,84,Make EBS snapshot private immediately,290000,0.89
ebs_snapshot_unencrypted,ec2,medium,EBS snapshot without encryption,0,0,0,53,Ensure snapshots are encrypted,38000,0.78
guardduty_not_enabled,guardduty,high,AWS GuardDuty not enabled for threat detection,0,1,0,77,Enable GuardDuty in all AWS regions,128000,0.88
security_hub_not_enabled,securityhub,high,AWS Security Hub not enabled,0,1,0,78,Enable Security Hub for compliance,132000,0.88
config_not_enabled,config,high,AWS Config not enabled for resource tracking,0,1,0,76,Enable AWS Config for audit trail,125000,0.87
macie_not_enabled,macie,medium,Amazon Macie not enabled for data discovery,0,1,0,54,Enable Macie to discover sensitive data,42000,0.79
waf_not_attached,waf,high,WAF rule created but not attached to resource,0,1,0,72,Attach WAF to ALB or CloudFront,116000,0.86
security_group_default_open,ec2,critical,Default security group allows all traffic,0,1,0,91,Restrict default security group rules,270000,0.91
database_deletion_protection,rds,high,RDS database deletion protection disabled,0,1,5432,77,Enable deletion protection on production DBs,126000,0.87
